Date,Shift,Excavator,Dumper,Trip Count for Mining,Trip Count for Reclaim,Total Trips,Qty (m3),Grader,Dozer
2025-09-18,A,4,13,0,79,79,1027,1,1
2025-09-18,B,4,13,0,92,92,1196,1,1
2025-09-18,C,4,13,0,0,0,0,1,1
2025-09-18,Total,12,39,0,171,171,2223,3,3
2025-09-19,A,4,13,0,0,0,0,1,1
2025-09-19,B,4,13,0,88,88,1144,1,1
2025-09-19,C,4,13,0,74,74,962,1,1
2025-09-19,Total,12,39,0,162,162,2106,3,3
2025-09-20,A,4,13,0,69,69,897,1,1
2025-09-20,B,4,13,14,3,17,305,1,1
2025-09-20,C,4,13,0,38,38,494,1,1
2025-09-20,Total,12,39,14,110,124,1696,3,3
2025-09-21,A,4,13,1,16,17,227,1,1
2025-09-21,B,4,13,1,49,50,656,1,1
2025-09-21,C,4,13,0,59,59,767,1,1
2025-09-21,Total,12,39,2,124,126,1650,3,3
2025-09-22,A,4,13,0,74,74,962,1,1
2025-09-22,B,4,13,0,51,51,663,1,1
2025-09-22,C,4,13,0,0,0,0,1,1
2025-09-22,Total,12,39,0,125,125,1625,3,3
2025-09-23,A,4,13,0,39,39,507,1,1
2025-09-23,B,4,13,4,0,4,76,1,1
2025-09-23,C,4,13,0,0,0,0,1,1
2025-09-23,Total,12,39,4,39,43,583,3,3
2025-09-24,A,4,13,0,0,0,0,1,1
2025-09-24,B,4,13,11,0,11,209,1,1
2025-09-24,C,4,13,0,0,0,0,1,1
2025-09-24,Total,12,39,11,0,11,209,3,3
2025-09-25,A,4,13,0,67,67,871,1,1
2025-09-25,B,4,13,12,0,12,228,1,1
2025-09-25,C,4,13,7,36,43,601,1,1
2025-09-25,Total,12,39,19,103,122,1700,3,3
2025-09-26,A,4,13,11,2,13,235,1,1
2025-09-26,B,4,13,4,27,31,427,1,1
2025-09-26,C,4,13,0,53,53,689,1,1
2025-09-26,Total,12,39,15,82,97,1351,3,3
2025-09-27,A,4,13,0,87,87,1131,1,1
2025-09-27,B,4,13,10,7,17,281,1,1
2025-09-27,C,4,13,0,73,73,949,1,1
2025-09-27,Total,12,39,10,167,177,2361,3,3
2025-09-28,A,4,13,0,76,76,988,1,1
2025-09-28,B,4,13,0,78,78,1014,1,1
2025-09-28,C,4,13,0,72,72,936,1,1
2025-09-28,Total,12,39,0,226,226,2938,3,3
2025-09-29,A,4,13,0,53,53,689,1,1
2025-09-29,B,4,13,15,0,15,285,1,1
2025-09-29,C,4,13,0,52,52,676,1,1
2025-09-29,Total,12,39,15,105,120,1650,3,3
2025-09-30,A,4,13,16,0,16,304,1,1
2025-09-30,B,4,13,15,0,15,285,1,1
2025-09-30,C,4,13,0,62,62,806,1,1
2025-09-30,Total,12,39,31,62,93,1395,3,3
